Start,End,Round,Seq,Par-2,Par-4,Par-8,Par-16
2,1026,2,0,0,0,0,1
2,1026,4,0,13,0,0,1
2,1026,8,0,8,27,0,1
2,1026,16,0,9,17,49,2
2,1026,32,0,9,17,39,73
2,1026,64,1,10,17,34,72
2,1026,128,2,11,18,42,77
2,1026,256,3,12,19,37,77
2,1026,512,7,16,23,42,74
2,1026,1024,14,23,33,51,84
2,1026,2048,29,38,53,73,121
2,1026,4096,59,69,125,148,175
2,1026,8192,119,141,257,380,368
2,1026,16384,238,264,513,882,938
2,1026,32768,473,675,1027,1836,1743
4,1028,2,0,0,0,0,1
4,1028,4,0,18,0,0,1
4,1028,8,0,17,21,0,1
4,1028,16,0,18,17,38,1
4,1028,32,0,17,18,33,114
4,1028,64,1,15,21,41,82
4,1028,128,2,17,20,33,122
4,1028,256,3,25,23,40,119
4,1028,512,7,21,27,43,95
4,1028,1024,15,41,33,49,119
4,1028,2048,30,61,62,77,148
4,1028,4096,60,96,130,135,177
4,1028,8192,120,148,270,357,332
4,1028,16384,243,280,523,742,802
4,1028,32768,473,546,1031,1454,2019
8,1032,2,0,0,0,0,1
8,1032,4,0,9,0,0,1
8,1032,8,0,8,20,0,1
8,1032,16,0,9,16,37,1
8,1032,32,0,9,18,55,78
8,1032,64,1,9,18,42,75
8,1032,128,1,11,21,42,69
8,1032,256,3,12,31,44,68
8,1032,512,7,15,25,62,76
8,1032,1024,15,23,36,62,84
8,1032,2048,29,38,56,82,137
8,1032,4096,59,74,132,112,162
8,1032,8192,117,137,260,332,336
8,1032,16384,237,261,530,671,790
8,1032,32768,475,532,1060,1615,1684
16,1040,2,0,0,0,0,1
16,1040,4,0,10,0,0,1
16,1040,8,0,8,21,0,1
16,1040,16,0,8,19,41,1
16,1040,32,0,9,21,35,90
16,1040,64,1,9,21,37,85
16,1040,128,2,10,20,38,74
16,1040,256,3,12,25,43,74
16,1040,512,7,15,25,45,107
16,1040,1024,15,25,38,47,110
16,1040,2048,30,39,61,68,124
16,1040,4096,60,70,133,108,161
16,1040,8192,120,135,250,345,264
16,1040,16384,239,272,515,748,795
16,1040,32768,479,564,1031,1770,1454
32,1056,2,0,0,0,0,1
32,1056,4,0,8,0,0,1
32,1056,8,0,8,20,0,1
32,1056,16,0,8,18,35,1
32,1056,32,0,9,19,37,81
32,1056,64,1,10,19,42,67
32,1056,128,2,10,18,61,69
32,1056,256,3,12,23,40,68
32,1056,512,7,16,24,47,96
32,1056,1024,15,23,33,56,116
32,1056,2048,30,38,47,71,136
32,1056,4096,59,73,140,110,152
32,1056,8192,119,140,254,281,247
32,1056,16384,240,262,517,708,791
32,1056,32768,476,553,1036,1355,1768
64,1088,2,0,0,0,0,1
64,1088,4,0,8,0,0,1
64,1088,8,0,9,18,0,1
64,1088,16,0,10,15,42,1
64,1088,32,0,13,18,36,72
64,1088,64,1,9,18,41,64
64,1088,128,2,10,18,37,65
64,1088,256,3,12,20,47,69
64,1088,512,7,16,24,47,83
64,1088,1024,14,23,32,53,102
64,1088,2048,30,41,44,75,136
64,1088,4096,60,71,125,122,177
64,1088,8192,120,134,258,361,224
64,1088,16384,237,277,517,630,988
64,1088,32768,479,557,1009,1416,1830
128,1152,2,0,0,0,0,1
128,1152,4,0,9,0,0,1
128,1152,8,0,9,20,0,1
128,1152,16,0,9,18,46,1
128,1152,32,0,9,17,43,76
128,1152,64,1,9,17,47,83
128,1152,128,2,10,18,46,75
128,1152,256,3,12,23,48,77
128,1152,512,7,16,25,54,97
128,1152,1024,15,23,34,55,94
128,1152,2048,30,39,47,76,146
128,1152,4096,59,71,124,130,170
128,1152,8192,121,138,261,280,215
128,1152,16384,241,269,514,679,784
128,1152,32768,480,569,1036,1366,1897
256,1280,2,0,0,0,0,1
256,1280,4,0,10,0,0,1
256,1280,8,0,9,17,0,1
256,1280,16,0,10,18,39,1
256,1280,32,0,10,18,40,65
256,1280,64,1,11,18,44,64
256,1280,128,2,11,19,39,82
256,1280,256,3,11,21,42,78
256,1280,512,7,16,32,53,84
256,1280,1024,15,25,37,57,94
256,1280,2048,29,42,51,85,111
256,1280,4096,59,69,125,133,145
256,1280,8192,120,133,232,308,197
256,1280,16384,241,255,482,676,769
256,1280,32768,482,558,953,1663,1758
512,1536,2,0,0,0,0,1
512,1536,4,0,10,0,0,1
512,1536,8,0,14,19,0,1
512,1536,16,0,10,23,35,1
512,1536,32,0,9,27,33,79
512,1536,64,1,10,27,35,78
512,1536,128,2,10,33,34,68
512,1536,256,3,12,24,36,68
512,1536,512,7,15,30,44,88
512,1536,1024,15,23,36,59,114
512,1536,2048,30,39,69,74,129
512,1536,4096,60,70,120,108,132
512,1536,8192,121,145,235,305,250
512,1536,16384,240,270,488,588,702
512,1536,32768,483,533,960,1330,1388
1024,2048,2,0,0,0,0,1
1024,2048,4,0,9,0,0,1
1024,2048,8,0,10,19,0,1
1024,2048,16,0,8,17,37,1
1024,2048,32,0,9,17,33,76
1024,2048,64,1,10,17,35,74
1024,2048,128,2,10,20,38,70
1024,2048,256,4,12,21,37,73
1024,2048,512,7,16,26,40,74
1024,2048,1024,15,23,35,52,99
1024,2048,2048,30,40,46,70,136
1024,2048,4096,61,72,115,110,175
1024,2048,8192,121,137,217,284,251
1024,2048,16384,242,266,458,580,787
1024,2048,32768,486,530,906,1352,1568
2048,3072,2,0,0,0,0,1
2048,3072,4,0,8,0,0,1
2048,3072,8,0,8,17,0,1
2048,3072,16,0,8,17,34,1
2048,3072,32,0,9,18,35,66
2048,3072,64,1,10,18,36,65
2048,3072,128,2,11,20,36,77
2048,3072,256,3,12,22,38,85
2048,3072,512,7,16,24,41,75
2048,3072,1024,15,24,31,53,91
2048,3072,2048,31,39,52,79,130
